"device_id";"device_type";"manufacturer";"model";"country";"failure_event_count";"downtime";"maintenance_cost";"maintenance_frequency";"maintenance_class";"risk_score"
"MD01323";"Defibrillator";"ScanPro";"Model-400";"Japan";3;4.44;4946.62;1;1;24.39
"MD01324";"Defibrillator";"CardioSync";"Model-450";"Canada";2;8.28;2929.87;5;1;21.21
"MD01325";"CT Scanner";"RescueTech";"Model-400";"Japan";0;6.77;16224.21;5;3;22.99
"MD01326";"Defibrillator";"CardioSync";"Model-650";"France";0;12.76;16690.05;2;3;29.45
"MD01327";"CT Scanner";"RescueTech";"Model-300";"France";4;13.0;7674.86;5;2;40.67
"MD01328";"X-Ray Machine";"ScanPro";"Model-550";"USA";2;3.65;6752.59;5;2;20.4
"MD01329";"PET Scanner";"ImagingTech";"Model-150";"France";0;13.54;8775.15;2;2;22.32
"MD01330";"CT Scanner";"CardioSync";"Model-350";"France";1;9.93;24087.33;3;3;39.02
"MD01332";"PET Scanner";"RescueTech";"Model-300";"Canada";2;25.22;22279.57;5;3;57.5
"MD01334";"CT Scanner";"ImagingTech";"Model-150";"Japan";0;1.79;4776.57;5;1;6.57
"MD01335";"PET Scanner";"CardioSync";"Model-500";"France";4;1.14;4218.46;2;1;25.36
"MD01336";"X-Ray Machine";"CardioSync";"Model-450";"France";1;12.3;6057.46;4;3;23.36
"MD01337";"Defibrillator";"RescueTech";"Model-550";"Japan";3;10.89;13803.81;3;3;39.69
"MD01338";"MRI Scanner";"RescueTech";"Model-250";"Japan";3;3.15;2099.92;1;1;20.25
"MD01339";"MRI Scanner";"CardioSync";"Model-250";"Italy";2;27.95;14435.48;4;3;52.39
"MD01340";"Defibrillator";"MedEquip";"Model-350";"Italy";1;16.9;-555.91;3;2;21.34
"MD01341";"MRI Scanner";"CardioSync";"Model-200";"Italy";6;3.24;7314.27;5;2;40.55
"MD01342";"Infusion Pump";"ImagingTech";"Model-350";"Japan";4;16.07;-243.76;5;2;35.83
"MD01345";"MRI Scanner";"RescueTech";"Model-150";"USA";6;6.36;3497.05;4;1;39.86
"MD01346";"Infusion Pump";"MedEquip";"Model-450";"USA";1;4.58;2486.15;4;1;12.07
"MD01347";"MRI Scanner";"MedEquip";"Model-350";"UK";2;2.9;4905.48;1;1;17.81
"MD01349";"CT Scanner";"ScanPro";"Model-300";"Japan";0;13.82;5393.06;5;2;19.21
"MD01350";"PET Scanner";"ScanPro";"Model-250";"France";1;3.5;30274.94;5;3;38.77
"MD01351";"PET Scanner";"CardioSync";"Model-450";"France";1;16.72;6438.57;1;3;28.16
"MD01353";"X-Ray Machine";"ImagingTech";"Model-100";"France";2;9.62;13746.23;5;3;33.37
"MD01354";"X-Ray Machine";"UltraMed";"Model-350";"Japan";0;18.37;19213.37;4;3;37.58
"MD01355";"Defibrillator";"ScanPro";"Model-300";"France";1;8.88;7567.3;1;3;21.45
"MD01356";"Infusion Pump";"UltraMed";"Model-350";"USA";2;6.59;3096.98;4;1;19.69
"MD01358";"X-Ray Machine";"ImagingTech";"Model-300";"USA";3;16.14;8653.17;1;2;39.79
"MD01359";"X-Ray Machine";"MedEquip";"Model-250";"UK";2;3.29;7044.22;1;2;20.33
"MD01360";"CT Scanner";"RescueTech";"Model-150";"USA";3;24.21;18302.84;1;3;57.51
"MD01361";"CT Scanner";"MedEquip";"Model-400";"Canada";2;3.83;7462.52;3;1;21.29
"MD01362";"MRI Scanner";"ScanPro";"Model-600";"Italy";0;4.63;316.06;3;2;4.95
"MD01363";"Infusion Pump";"UltraMed";"Model-550";"UK";1;14.92;6986.03;4;2;26.91
"MD01364";"Infusion Pump";"ImagingTech";"Model-250";"France";2;6.68;5707.44;1;1;22.39
"MD01365";"X-Ray Machine";"UltraMed";"Model-650";"Italy";3;22.18;16360.4;1;3;53.54
"MD01366";"X-Ray Machine";"ScanPro";"Model-350";"Canada";1;5.56;2589.16;5;1;13.15
"MD01367";"Defibrillator";"UltraMed";"Model-500";"Italy";3;4.95;3642.98;1;1;23.59
"MD01368";"MRI Scanner";"RescueTech";"Model-500";"France";0;3.5;2007.8;5;1;5.51
"MD01369";"MRI Scanner";"ScanPro";"Model-250";"France";1;5.51;13157.09;3;2;23.67
"MD01370";"CT Scanner";"ScanPro";"Model-250";"UK";3;16.47;15504.19;5;3;46.97
"MD01371";"CT Scanner";"CardioSync";"Model-150";"USA";0;8.01;5022.12;4;1;13.03
"MD01372";"MRI Scanner";"ScanPro";"Model-600";"Italy";0;22.89;12483.01;3;3;35.37
"MD01374";"X-Ray Machine";"ImagingTech";"Model-150";"UK";0;3.77;5107.41;1;3;8.88
"MD01375";"X-Ray Machine";"RescueTech";"Model-150";"Italy";2;12.67;5565.27;2;2;28.24
"MD01376";"CT Scanner";"MedEquip";"Model-650";"Japan";5;4.19;4329.06;4;1;33.52
"MD01377";"CT Scanner";"RescueTech";"Model-600";"Italy";1;24.27;6573.28;2;3;35.84
"MD01378";"Infusion Pump";"RescueTech";"Model-250";"USA";1;18.51;14849.85;4;3;38.36
"MD01379";"Infusion Pump";"UltraMed";"Model-400";"Canada";2;13.51;17767.25;3;3;41.28
"MD01380";"X-Ray Machine";"RescueTech";"Model-600";"Japan";2;1.91;2474.51;4;1;14.38
"MD01381";"PET Scanner";"CardioSync";"Model-200";"France";0;11.62;24164.49;3;3;35.78
"MD01382";"CT Scanner";"RescueTech";"Model-400";"France";3;8.86;6009.31;4;1;29.87
"MD01383";"PET Scanner";"ScanPro";"Model-650";"UK";1;21.93;9278.17;2;3;36.21
"MD01384";"CT Scanner";"ScanPro";"Model-150";"Italy";3;15.94;3094.72;3;2;34.03
"MD01386";"Infusion Pump";"RescueTech";"Model-150";"Italy";2;9.13;13272.64;3;3;32.4
"MD01387";"Defibrillator";"ImagingTech";"Model-250";"UK";2;8.89;14842.81;1;3;33.73
"MD01388";"Defibrillator";"CardioSync";"Model-150";"USA";2;15.35;8866.19;3;2;34.22
"MD01390";"Defibrillator";"UltraMed";"Model-150";"UK";2;9.9;6338.5;3;2;26.24
"MD01391";"X-Ray Machine";"CardioSync";"Model-500";"Italy";0;21.8;22844.04;2;3;44.64
"MD01392";"Defibrillator";"UltraMed";"Model-650";"France";2;1.66;5062.75;5;1;16.72
"MD01393";"Defibrillator";"ImagingTech";"Model-150";"Italy";3;2.14;3390.12;5;1;20.53
"MD01394";"PET Scanner";"MedEquip";"Model-350";"Japan";3;23.34;20045.95;1;3;58.39
"MD01395";"Defibrillator";"ImagingTech";"Model-150";"Canada";0;12.0;14199.41;2;3;26.2
"MD01396";"Infusion Pump";"CardioSync";"Model-500";"Japan";1;10.2;9174.93;2;2;24.37
"MD01397";"Defibrillator";"ScanPro";"Model-150";"Canada";0;25.26;19033.81;4;3;44.29
"MD01398";"PET Scanner";"UltraMed";"Model-550";"Japan";2;4.4;12350.0;1;2;26.75
"MD01400";"Infusion Pump";"ImagingTech";"Model-200";"Canada";5;5.82;9745.86;4;1;40.57
"MD01401";"PET Scanner";"MedEquip";"Model-650";"Japan";2;13.05;-1278.15;1;2;21.77
"MD01403";"MRI Scanner";"ScanPro";"Model-400";"Italy";4;9.62;8690.81;2;2;38.31
"MD01405";"Infusion Pump";"CardioSync";"Model-200";"France";0;10.61;2169.45;5;2;12.78
"MD01406";"Infusion Pump";"CardioSync";"Model-300";"Japan";4;14.67;11465.53;3;2;46.14
"MD01409";"PET Scanner";"RescueTech";"Model-350";"USA";7;7.42;7560.14;2;1;49.98
"MD01410";"MRI Scanner";"MedEquip";"Model-550";"USA";0;5.64;4882.43;2;1;10.52
"MD01413";"MRI Scanner";"RescueTech";"Model-300";"UK";2;9.15;5991.01;5;1;25.14
"MD01414";"MRI Scanner";"RescueTech";"Model-400";"Canada";2;4.95;5443.42;3;1;20.39
"MD01415";"CT Scanner";"ScanPro";"Model-650";"Canada";3;7.1;555.16;2;1;22.66
"MD01416";"CT Scanner";"UltraMed";"Model-350";"UK";2;5.19;15016.81;1;3;30.21
"MD01418";"CT Scanner";"MedEquip";"Model-550";"France";1;7.23;1982.16;2;1;14.21
"MD01419";"MRI Scanner";"ImagingTech";"Model-500";"Italy";1;3.05;9263.13;4;1;17.31
"MD01420";"Infusion Pump";"MedEquip";"Model-500";"France";1;9.07;4810.4;3;1;18.88
"MD01421";"Infusion Pump";"ScanPro";"Model-350";"France";4;7.69;8773.77;3;3;36.46
"MD01422";"X-Ray Machine";"MedEquip";"Model-500";"France";1;18.92;2386.47;5;3;26.31
"MD01423";"PET Scanner";"ScanPro";"Model-650";"USA";1;13.36;9217.0;1;2;27.58
"MD01424";"CT Scanner";"RescueTech";"Model-250";"UK";1;3.65;6531.54;2;1;15.18
"MD01425";"MRI Scanner";"ScanPro";"Model-100";"France";2;1.46;2760.72;4;1;14.22
"MD01426";"MRI Scanner";"RescueTech";"Model-400";"USA";0;14.14;7993.54;4;2;22.13
"MD01427";"Defibrillator";"RescueTech";"Model-650";"Italy";3;17.48;10025.55;2;3;42.51
"MD01429";"X-Ray Machine";"MedEquip";"Model-350";"Japan";1;9.26;7105.9;5;3;21.37
"MD01430";"Defibrillator";"ScanPro";"Model-450";"Italy";3;7.79;3275.39;2;1;26.07
"MD01431";"CT Scanner";"ScanPro";"Model-150";"France";5;6.38;8116.19;5;1;39.5
"MD01433";"Defibrillator";"CardioSync";"Model-600";"UK";2;2.22;3821.8;4;2;16.04
"MD01434";"CT Scanner";"ImagingTech";"Model-300";"Italy";2;3.17;7062.44;4;1;20.23
"MD01435";"X-Ray Machine";"MedEquip";"Model-150";"Italy";2;6.19;370.29;5;1;16.56
"MD01436";"Infusion Pump";"CardioSync";"Model-250";"Italy";2;5.41;5432.74;1;1;20.84
"MD01437";"CT Scanner";"ImagingTech";"Model-450";"USA";2;8.91;6038.17;2;1;24.95
"MD01438";"CT Scanner";"MedEquip";"Model-400";"Canada";3;10.81;7264.88;4;2;33.07
"MD01439";"X-Ray Machine";"ImagingTech";"Model-500";"Japan";4;6.75;15254.09;5;3;42.0
"MD01440";"X-Ray Machine";"CardioSync";"Model-400";"Italy";1;10.42;1359.04;2;1;16.78
"MD01441";"PET Scanner";"MedEquip";"Model-400";"UK";5;14.58;7205.47;5;2;46.79
"MD01442";"Infusion Pump";"RescueTech";"Model-500";"Italy";2;30.51;17575.57;5;3;58.09
"MD01443";"CT Scanner";"ScanPro";"Model-550";"UK";3;10.49;104.91;1;2;25.59
"MD01444";"PET Scanner";"CardioSync";"Model-300";"Japan";4;7.69;2902.13;4;1;30.59
"MD01445";"CT Scanner";"ImagingTech";"Model-600";"USA";1;29.3;-2614.0;2;3;31.69
"MD01448";"Infusion Pump";"RescueTech";"Model-650";"UK";1;8.0;3420.84;4;1;16.42
"MD01450";"MRI Scanner";"ImagingTech";"Model-500";"USA";2;11.4;4091.33;5;1;25.49
"MD01451";"Infusion Pump";"CardioSync";"Model-350";"Italy";2;3.9;5654.61;3;1;19.55
"MD01452";"X-Ray Machine";"MedEquip";"Model-600";"France";2;1.8;4916.65;5;1;16.72
"MD01453";"Infusion Pump";"RescueTech";"Model-450";"USA";5;2.6;6752.02;1;2;34.35
"MD01454";"Infusion Pump";"ScanPro";"Model-650";"Japan";1;4.39;9057.76;3;1;18.45
"MD01455";"MRI Scanner";"UltraMed";"Model-450";"Italy";0;5.77;8208.85;3;2;13.98
"MD01456";"CT Scanner";"CardioSync";"Model-650";"Japan";4;13.56;27196.87;1;3;60.76
"MD01457";"X-Ray Machine";"RescueTech";"Model-200";"Canada";1;3.06;3926.9;4;1;11.99
"MD01458";"Defibrillator";"RescueTech";"Model-200";"USA";0;10.66;-915.99;5;2;9.74
"MD01459";"CT Scanner";"MedEquip";"Model-250";"USA";1;11.75;6480.69;1;2;23.23
"MD01460";"Infusion Pump";"CardioSync";"Model-450";"Japan";2;6.72;4060.44;5;1;20.78
"MD01461";"Infusion Pump";"MedEquip";"Model-650";"Italy";2;10.83;6677.19;2;1;27.51
"MD01464";"X-Ray Machine";"ImagingTech";"Model-600";"Italy";1;2.01;4945.7;3;1;11.96
"MD01466";"PET Scanner";"UltraMed";"Model-100";"Japan";0;10.1;6142.01;5;1;16.24
"MD01467";"MRI Scanner";"ScanPro";"Model-600";"Canada";1;11.1;8796.41;4;2;24.9
"MD01468";"X-Ray Machine";"CardioSync";"Model-100";"Japan";3;15.98;14315.1;1;2;45.3
"MD01469";"MRI Scanner";"MedEquip";"Model-600";"Japan";0;1.83;2140.76;5;1;3.97
"MD01470";"X-Ray Machine";"ImagingTech";"Model-650";"Canada";0;17.96;4912.87;4;2;22.87
"MD01471";"X-Ray Machine";"UltraMed";"Model-600";"USA";4;13.05;19697.86;3;3;52.75
"MD01472";"Infusion Pump";"RescueTech";"Model-200";"UK";4;8.15;4331.56;1;1;32.48
"MD01473";"Defibrillator";"MedEquip";"Model-500";"UK";0;27.72;17732.04;2;3;45.45
"MD01474";"X-Ray Machine";"RescueTech";"Model-200";"France";2;6.62;900.49;1;2;17.52
"MD01476";"X-Ray Machine";"ImagingTech";"Model-500";"Italy";4;22.6;17837.09;5;3;60.44
"MD01478";"CT Scanner";"UltraMed";"Model-400";"Canada";1;22.3;8659.17;5;3;35.96
"MD01479";"PET Scanner";"CardioSync";"Model-250";"UK";1;14.52;12409.56;1;2;31.93
"MD01480";"Infusion Pump";"ScanPro";"Model-350";"USA";2;25.19;-1369.47;3;3;33.82
"MD01481";"PET Scanner";"UltraMed";"Model-350";"Japan";1;2.58;6265.76;3;2;13.85
"MD01482";"Defibrillator";"ImagingTech";"Model-150";"USA";3;19.9;14977.52;3;3;49.88
"MD01483";"Defibrillator";"MedEquip";"Model-400";"USA";0;32.91;15232.42;4;3;48.14
"MD01486";"Defibrillator";"ScanPro";"Model-500";"France";1;9.25;5663.67;1;3;19.91
"MD01489";"MRI Scanner";"UltraMed";"Model-250";"Italy";2;18.44;11653.97;1;3;40.09
"MD01490";"Defibrillator";"RescueTech";"Model-600";"Italy";1;5.37;-167.12;5;1;10.2
"MD01491";"MRI Scanner";"RescueTech";"Model-450";"Italy";1;3.24;6178.95;1;1;14.42
"MD01492";"Infusion Pump";"CardioSync";"Model-650";"Italy";3;2.76;4334.23;5;1;22.09
"MD01493";"X-Ray Machine";"ScanPro";"Model-650";"Italy";1;2.49;10593.78;3;2;18.08
"MD01495";"X-Ray Machine";"ScanPro";"Model-600";"Canada";3;21.12;5777.66;4;3;41.9
"MD01496";"Infusion Pump";"UltraMed";"Model-450";"Canada";2;23.91;33114.85;2;3;67.02
"MD01497";"MRI Scanner";"RescueTech";"Model-500";"UK";4;2.29;4342.49;2;1;26.63
"MD01499";"PET Scanner";"MedEquip";"Model-450";"France";1;3.79;4092.89;3;1;12.88
"MD01501";"Infusion Pump";"MedEquip";"Model-400";"Italy";1;6.78;3317.65;1;2;15.1
"MD01502";"Infusion Pump";"UltraMed";"Model-600";"USA";3;6.11;11971.82;5;3;33.08
"MD01503";"MRI Scanner";"ImagingTech";"Model-150";"USA";4;2.77;913.05;5;1;23.68
"MD01504";"MRI Scanner";"MedEquip";"Model-500";"France";3;11.51;12302.45;1;3;38.81
"MD01505";"CT Scanner";"ScanPro";"Model-150";"USA";2;8.21;14297.22;2;3;32.51
"MD01506";"Infusion Pump";"ScanPro";"Model-350";"UK";2;3.59;6176.44;2;1;19.77
"MD01507";"X-Ray Machine";"UltraMed";"Model-500";"France";3;13.6;8529.63;4;3;37.13
"MD01508";"Infusion Pump";"UltraMed";"Model-350";"Italy";2;11.52;3239.65;1;1;24.76
"MD01509";"X-Ray Machine";"ScanPro";"Model-350";"Canada";4;7.59;3757.84;2;1;31.35
"MD01512";"Infusion Pump";"ImagingTech";"Model-350";"France";3;9.63;13100.19;1;2;37.73
"MD01514";"Infusion Pump";"CardioSync";"Model-450";"France";1;14.98;17627.5;5;3;37.61
"MD01518";"Defibrillator";"CardioSync";"Model-550";"Canada";1;2.13;12064.4;4;2;19.19
"MD01519";"X-Ray Machine";"UltraMed";"Model-300";"Japan";3;19.48;5414.14;4;3;39.89
"MD01520";"X-Ray Machine";"ImagingTech";"Model-500";"Japan";2;5.21;6193.44;5;1;21.4
"MD01521";"Infusion Pump";"UltraMed";"Model-350";"Japan";3;16.23;5230.94;2;2;36.46
"MD01522";"PET Scanner";"ImagingTech";"Model-350";"Japan";1;16.54;4408.09;2;2;25.95
"MD01523";"CT Scanner";"ImagingTech";"Model-250";"Italy";2;11.15;9596.4;4;2;30.75
"MD01524";"MRI Scanner";"CardioSync";"Model-500";"UK";2;5.79;9149.45;1;2;24.94
"MD01525";"PET Scanner";"RescueTech";"Model-550";"Italy";2;8.23;7473.04;4;2;25.7
"MD01526";"Infusion Pump";"ImagingTech";"Model-650";"UK";1;7.48;6215.34;2;1;18.7
"MD01527";"Defibrillator";"UltraMed";"Model-500";"UK";5;3.9;3417.16;5;1;32.32
"MD01528";"X-Ray Machine";"CardioSync";"Model-600";"USA";1;3.2;397.38;5;1;8.6
"MD01529";"Infusion Pump";"RescueTech";"Model-450";"Italy";1;3.49;15809.5;2;3;24.3
"MD01530";"PET Scanner";"ImagingTech";"Model-150";"USA";2;3.59;12832.08;5;2;26.42
"MD01531";"PET Scanner";"CardioSync";"Model-600";"UK";1;11.24;528.97;4;2;16.77
"MD01532";"MRI Scanner";"UltraMed";"Model-150";"USA";1;19.79;14918.62;4;3;39.71
"MD01536";"Infusion Pump";"ScanPro";"Model-250";"Canada";2;28.57;8333.69;1;3;46.9
"MD01537";"MRI Scanner";"ImagingTech";"Model-300";"UK";1;3.02;11967.25;5;2;19.99
"MD01539";"Defibrillator";"MedEquip";"Model-400";"Japan";0;2.01;3895.85;4;1;5.91
"MD01540";"Defibrillator";"MedEquip";"Model-350";"France";2;4.21;2989.54;3;1;17.2
"MD01541";"Infusion Pump";"RescueTech";"Model-550";"Japan";4;10.02;5972.82;3;1;35.99
"MD01542";"CT Scanner";"MedEquip";"Model-300";"USA";0;5.73;6758.31;2;1;12.49
"MD01543";"X-Ray Machine";"UltraMed";"Model-600";"Canada";1;2.05;3980.89;1;2;11.03
"MD01544";"Defibrillator";"ImagingTech";"Model-450";"Japan";3;10.8;2543.29;4;2;28.34
"MD01545";"Defibrillator";"MedEquip";"Model-600";"USA";0;2.79;8615.09;3;2;11.41
"MD01547";"X-Ray Machine";"ScanPro";"Model-150";"Japan";1;2.27;3042.47;1;1;10.31
"MD01548";"PET Scanner";"UltraMed";"Model-350";"USA";3;26.68;15908.18;3;3;57.59
"MD01549";"Defibrillator";"ScanPro";"Model-150";"France";3;8.45;2811.58;5;1;26.26
"MD01550";"X-Ray Machine";"RescueTech";"Model-450";"UK";1;12.91;11687.89;2;3;29.6
"MD01552";"CT Scanner";"ScanPro";"Model-400";"Italy";3;27.77;12926.17;2;3;55.7
"MD01553";"Infusion Pump";"ImagingTech";"Model-200";"UK";2;2.07;4689.03;1;1;16.76
"MD01556";"PET Scanner";"ImagingTech";"Model-650";"Japan";4;15.38;8192.23;1;2;43.57
"MD01557";"X-Ray Machine";"CardioSync";"Model-400";"Canada";2;27.92;11892.04;2;3;49.81
"MD01558";"Infusion Pump";"MedEquip";"Model-200";"UK";2;6.87;6528.07;1;2;23.4
"MD01559";"PET Scanner";"MedEquip";"Model-400";"UK";4;23.99;7894.31;3;3;51.88
"MD01561";"CT Scanner";"ScanPro";"Model-200";"USA";1;6.79;9048.93;2;2;20.84
"MD01562";"MRI Scanner";"CardioSync";"Model-450";"Japan";3;2.72;3545.06;4;1;21.27
"MD01563";"PET Scanner";"ImagingTech";"Model-300";"UK";4;26.3;17202.31;3;3;63.5
"MD01564";"PET Scanner";"UltraMed";"Model-650";"Japan";3;5.49;10714.77;1;2;31.2
"MD01565";"CT Scanner";"ScanPro";"Model-250";"Italy";0;5.53;6751.95;4;1;12.28
"MD01567";"Infusion Pump";"ScanPro";"Model-400";"France";0;9.2;7881.44;3;1;17.08
"MD01568";"Defibrillator";"CardioSync";"Model-150";"USA";1;3.66;770.36;5;1;9.43
"MD01569";"PET Scanner";"RescueTech";"Model-500";"Italy";3;16.48;4058.15;2;2;35.54
"MD01571";"Infusion Pump";"ImagingTech";"Model-550";"Japan";1;13.91;13239.06;3;2;32.15
"MD01572";"Defibrillator";"ScanPro";"Model-400";"Canada";2;6.8;5729.23;5;2;22.53
"MD01573";"PET Scanner";"ScanPro";"Model-400";"Canada";3;2.85;3854.84;3;2;21.7
"MD01574";"X-Ray Machine";"MedEquip";"Model-400";"Japan";3;29.42;9254.96;1;3;53.67
"MD01576";"MRI Scanner";"RescueTech";"Model-300";"Canada";3;1.53;4656.15;1;1;21.19
"MD01578";"PET Scanner";"CardioSync";"Model-200";"Italy";1;4.83;1329.22;5;1;11.16
"MD01579";"MRI Scanner";"CardioSync";"Model-150";"Canada";1;5.21;494.86;3;1;10.7
"MD01581";"X-Ray Machine";"CardioSync";"Model-450";"France";2;4.35;1287.63;1;2;15.64
"MD01582";"X-Ray Machine";"UltraMed";"Model-500";"UK";1;8.76;12151.14;4;2;25.91
"MD01583";"X-Ray Machine";"ScanPro";"Model-150";"Japan";1;5.63;7272.15;2;1;17.9
"MD01584";"Defibrillator";"UltraMed";"Model-250";"Canada";1;3.04;2307.06;2;2;10.35
"MD01585";"MRI Scanner";"MedEquip";"Model-500";"Italy";3;5.02;4677.38;5;2;24.7
"MD01588";"MRI Scanner";"ImagingTech";"Model-250";"UK";1;18.15;6643.74;2;2;29.79
"MD01589";"X-Ray Machine";"RescueTech";"Model-600";"USA";3;11.02;21150.58;1;3;47.17
"MD01590";"MRI Scanner";"MedEquip";"Model-150";"USA";2;16.06;24262.93;3;3;50.32
"MD01591";"Infusion Pump";"CardioSync";"Model-400";"Japan";0;12.06;7666.18;5;2;19.73
"MD01592";"MRI Scanner";"UltraMed";"Model-550";"Italy";5;30.15;17386.78;5;3;72.54
"MD01593";"Defibrillator";"UltraMed";"Model-200";"Canada";3;1.83;5867.28;3;2;22.7
"MD01594";"MRI Scanner";"CardioSync";"Model-500";"Japan";0;8.11;8085.1;3;1;16.2
"MD01596";"MRI Scanner";"ScanPro";"Model-100";"Canada";6;22.27;13978.81;3;3;66.25
"MD01597";"Infusion Pump";"UltraMed";"Model-450";"Italy";4;4.28;20896.33;1;3;45.18
"MD01599";"Infusion Pump";"RescueTech";"Model-400";"Japan";0;8.21;2246.0;5;2;10.46
"MD01602";"X-Ray Machine";"RescueTech";"Model-150";"USA";0;14.24;5240.64;5;2;19.48
"MD01603";"X-Ray Machine";"ScanPro";"Model-100";"Italy";2;22.55;27166.13;4;3;59.72
"MD01604";"CT Scanner";"RescueTech";"Model-250";"Japan";3;8.53;27205.72;4;3;50.74
"MD01605";"PET Scanner";"UltraMed";"Model-100";"Japan";1;12.25;22612.38;4;3;39.86
"MD01606";"CT Scanner";"ScanPro";"Model-600";"France";1;6.85;5643.08;2;1;17.49
"MD01607";"CT Scanner";"RescueTech";"Model-300";"UK";1;8.33;6739.15;2;1;20.07
"MD01609";"PET Scanner";"ScanPro";"Model-450";"Italy";0;2.47;3317.09;1;1;5.79
"MD01611";"PET Scanner";"MedEquip";"Model-150";"UK";0;27.05;10565.81;1;3;37.62
"MD01613";"Defibrillator";"CardioSync";"Model-650";"Canada";2;10.68;6119.04;1;2;26.8
"MD01614";"Infusion Pump";"UltraMed";"Model-650";"USA";1;19.58;4555.02;4;3;29.14
"MD01615";"X-Ray Machine";"UltraMed";"Model-550";"Canada";4;16.73;16707.41;2;3;53.44
"MD01616";"CT Scanner";"ImagingTech";"Model-600";"Japan";3;12.45;3754.73;5;2;31.2
"MD01617";"CT Scanner";"RescueTech";"Model-250";"UK";2;9.29;-1206.8;4;1;18.08
"MD01618";"CT Scanner";"UltraMed";"Model-550";"Italy";1;10.88;22935.39;5;3;38.82
"MD01619";"Defibrillator";"ScanPro";"Model-150";"Canada";2;17.06;-1108.07;2;3;25.95
"MD01620";"PET Scanner";"ScanPro";"Model-550";"Canada";5;5.06;7153.86;4;1;37.21
"MD01621";"CT Scanner";"UltraMed";"Model-100";"UK";1;2.85;3648.77;1;1;11.5
"MD01622";"CT Scanner";"RescueTech";"Model-200";"Canada";3;6.91;8250.81;2;2;30.16
"MD01623";"X-Ray Machine";"RescueTech";"Model-650";"UK";1;1.97;4393.16;4;1;11.36
"MD01624";"CT Scanner";"CardioSync";"Model-550";"France";2;6.95;611.18;4;1;17.56
"MD01625";"X-Ray Machine";"ImagingTech";"Model-500";"Canada";6;7.83;2145.83;4;1;39.98
"MD01626";"CT Scanner";"CardioSync";"Model-500";"France";1;21.13;1652.29;1;3;27.78
"MD01627";"PET Scanner";"CardioSync";"Model-200";"UK";2;10.75;11531.62;3;3;32.28
"MD01628";"PET Scanner";"CardioSync";"Model-150";"France";3;8.89;7569.31;4;1;31.46
"MD01629";"Defibrillator";"ScanPro";"Model-250";"USA";0;4.48;12957.06;3;3;17.44
"MD01630";"PET Scanner";"ImagingTech";"Model-650";"Canada";1;15.82;4487.89;5;2;25.31
"MD01633";"CT Scanner";"UltraMed";"Model-600";"Italy";3;22.73;14916.38;2;3;52.65
"MD01634";"Infusion Pump";"UltraMed";"Model-200";"Italy";6;5.07;6875.44;5;2;41.95
"MD01635";"Infusion Pump";"UltraMed";"Model-350";"Japan";0;13.21;6200.14;4;2;19.41
"MD01636";"Defibrillator";"MedEquip";"Model-250";"France";0;8.88;17038.71;2;3;25.92
"MD01637";"CT Scanner";"RescueTech";"Model-350";"France";0;5.61;11545.8;5;3;17.16
"MD01638";"PET Scanner";"CardioSync";"Model-500";"France";4;22.78;12589.65;2;3;55.37
"MD01641";"MRI Scanner";"ScanPro";"Model-550";"Italy";4;18.54;13002.31;5;2;51.54
"MD01643";"CT Scanner";"MedEquip";"Model-350";"Canada";1;9.51;7582.85;3;1;22.09
"MD01645";"CT Scanner";"ImagingTech";"Model-500";"Canada";2;26.06;12586.41;4;3;48.65
"MD01646";"CT Scanner";"ImagingTech";"Model-100";"Canada";1;3.28;10884.21;5;2;19.16
"MD01647";"Defibrillator";"ImagingTech";"Model-650";"Japan";1;4.33;3953.36;3;1;13.28
"MD01648";"MRI Scanner";"CardioSync";"Model-650";"Italy";1;32.87;28119.84;3;3;65.99
"MD01649";"PET Scanner";"CardioSync";"Model-500";"Japan";3;14.57;12137.78;4;3;41.71
"MD01651";"Infusion Pump";"ImagingTech";"Model-400";"Canada";4;8.77;3173.36;3;1;31.94
"MD01652";"Infusion Pump";"CardioSync";"Model-400";"Canada";4;2.61;6488.64;2;1;29.1
"MD01653";"MRI Scanner";"ScanPro";"Model-550";"USA";1;4.14;5507.48;1;2;14.65
"MD01654";"CT Scanner";"CardioSync";"Model-500";"Italy";5;5.47;8142.61;4;1;38.61
"MD01655";"PET Scanner";"CardioSync";"Model-600";"Italy";2;5.71;7658.27;4;1;23.37
"MD01656";"CT Scanner";"ScanPro";"Model-300";"France";3;14.03;-3693.0;3;2;25.34
"MD01657";"Defibrillator";"RescueTech";"Model-500";"Canada";1;6.16;10507.73;1;2;21.67
"MD01658";"PET Scanner";"RescueTech";"Model-300";"Canada";0;14.44;6361.76;1;3;20.8
"MD01659";"Defibrillator";"CardioSync";"Model-100";"Canada";0;9.87;7170.6;2;3;17.04
"MD01660";"X-Ray Machine";"CardioSync";"Model-600";"Italy";1;14.57;9484.09;3;3;29.05
"MD01662";"MRI Scanner";"RescueTech";"Model-150";"Italy";3;7.03;7967.09;1;1;30.0
"MD01663";"Defibrillator";"UltraMed";"Model-250";"USA";2;3.61;7573.16;4;1;21.18
"MD01664";"CT Scanner";"UltraMed";"Model-200";"Italy";1;9.02;9985.28;3;2;24.01
"MD01665";"Defibrillator";"CardioSync";"Model-150";"USA";2;1.8;6217.96;5;1;18.02
"MD01666";"CT Scanner";"RescueTech";"Model-250";"UK";1;16.51;6840.95;5;2;28.35
